                               78 macb d/drwxrwxrwx 0        0        93788-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93789-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93789-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93790-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93790-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807/eventbeacons.dat ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93791-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809
                               78 macb d/drwxrwxrwx 0        0        93791-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809 ($FILE_NAME)
                                6 macb r/rrwxrwxrwx 0        0        93792-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/LogSettings.txt
                               96 macb r/rrwxrwxrwx 0        0        93792-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/LogSettings.txt ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93793-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280809/imprbeacons.dat
